target_id tpm
MSYJ000010.1 10.6893
MSYJ000020.1 8.60729
MSYJ000030.1 0
MSYJ000040.1 0
MSYJ000050.1 0
MSYJ000060.1 0
MSYJ000070.1 0
MSYJ000080.1 2.90682
MSYJ000090.1 0
MSYJ000100.1 0.283224
MSYJ000110.1 2.20362
MSYJ000120.1 0
MSYJ000130.1 0
MSYJ000140.1 1.57856
MSYJ000150.1 0
MSYJ000160.1 0
MSYJ000170.1 0
MSYJ000180.1 0
MSYJ000190.1 0
MSYJ000200.1 0
MSYJ000210.1 0
MSYJ000220.1 24.0129
MSYJ000230.1 37.1709
MSYJ000240.1 10.4319
MSYJ000250.1 0.470486
MSYJ000260.1 36.858
MSYJ000270.1 0.549627
MSYJ000280.1 0
MSYJ000290.1 0.0690679
MSYJ000300.1 0
MSYJ000310.1 0.033745
MSYJ000320.1 0
MSYJ000330.1 0
MSYJ000340.1 0.0193447
MSYJ000350.1 13.4959
MSYJ000360.1 0
MSYJ000370.1 0
MSYJ000380.1 0
MSYJ000390.1 0
MSYJ000400.1 12.7804
MSYJ000410.1 7.45218
MSYJ000420.1 8.93752
MSYJ000430.1 0
MSYJ000440.1 0
MSYJ000450.1 0.0583097
MSYJ000460.1 0.155261
MSYJ000470.1 5.38169
MSYJ000480.1 0.0260594
MSYJ000490.1 1.18455
MSYJ000500.1 0
MSYJ000510.1 0
MSYJ000520.1 0
MSYJ000530.1 0
MSYJ000540.1 0.124494
MSYJ000550.1 0
MSYJ000560.1 0
MSYJ000570.1 0.285873
MSYJ000580.1 0
MSYJ000590.1 0
MSYJ000600.1 14.0832
MSYJ000610.1 11.6969
MSYJ000620.1 13.2559
MSYJ000630.1 0
MSYJ000640.1 0.364348
MSYJ000650.1 38.4246
MSYJ000660.1 9.27834
MSYJ000670.1 9.68604
MSYJ000680.1 53.4022
MSYJ000690.1 104.343
MSYJ000700.1 19.4607
MSYJ000710.1 579.188
MSYJ000720.1 0.0891867
MSYJ000730.1 0
MSYJ000740.1 0
MSYJ000750.1 0
MSYJ000760.1 0
MSYJ000770.1 13.4492
MSYJ000780.1 11.0139
MSYJ000790.1 6.59365
MSYJ000800.1 0
MSYJ000810.1 0
MSYJ000820.1 1.49224
MSYJ000830.1 0
MSYJ000840.1 5.79999
MSYJ000850.1 2.14199
MSYJ000860.1 47.8686
MSYJ000870.2 8.54951
MSYJ000880.1 0
MSYJ000890.1 1.00985
MSYJ000900.1 20.4898
MSYJ000910.1 50.3165
MSYJ000920.1 8.79344
MSYJ000930.1 0.0442625
MSYJ000940.1 47.9668
MSYJ000950.1 225.634
MSYJ000960.1 0
MSYJ000970.1 16.0615
MSYJ000980.1 0
MSYJ000990.1 0
MSYJ001000.1 28.5686
MSYJ001010.1 32.2489
MSYJ001020.1 0.0500802
MSYJ001030.1 46.1591
MSYJ001040.1 3.57562
MSYJ001050.1 0.293135
MSYJ001060.1 0.0965598
MSYJ001070.1 0.750573
MSYJ001080.1 0
MSYJ001090.1 0
MSYJ001100.1 45.205
MSYJ001110.1 36.0899
MSYJ001120.1 0
MSYJ001130.1 0
MSYJ001140.1 0
MSYJ001150.1 0.116424
MSYJ001160.1 63.1275
MSYJ001170.1 21.7924
MSYJ001180.1 37.1304
MSYJ001190.1 1.13166
MSYJ001200.1 14.7612
MSYJ001210.1 5.56356
MSYJ001220.1 0
MSYJ001230.1 0
MSYJ001240.1 21.5011
MSYJ001250.1 6.70815
MSYJ001260.1 330.78
MSYJ001270.6 13.4741
MSYJ001280.1 10.1805
MSYJ001290.1 0
MSYJ001300.1 11.0384
MSYJ001310.2 34.0802
MSYJ001320.1 0.619779
MSYJ001330.1 1.06767
MSYJ001340.1 2.96693
MSYJ001350.1 0
MSYJ001360.1 0
MSYJ001370.1 0
MSYJ001380.1 0
MSYJ001390.1 21.8277
MSYJ001400.1 0
MSYJ001410.1 0
MSYJ001420.1 0
MSYJ001430.1 25.3204
MSYJ001440.1 30.11
MSYJ001450.1 0
MSYJ001460.1 4.46742
MSYJ001470.1 0
MSYJ001480.1 0
MSYJ001490.1 12.4889
MSYJ001500.1 0
MSYJ001510.1 0
MSYJ001520.1 0
MSYJ001530.1 2.97753
MSYJ001540.1 0
MSYJ001550.1 0
MSYJ001560.1 0
MSYJ001570.1 0.746031
MSYJ001580.1 2.31998
MSYJ001590.1 0
MSYJ001600.1 0
MSYJ001610.1 0.277226
MSYJ001620.1 10.6912
MSYJ001630.1 0
MSYJ001640.1 1557.72
MSYJ001650.1 0
MSYJ001660.1 0
MSYJ001670.1 0
MSYJ001680.1 3.42141
MSYJ001690.1 0
MSYJ001700.1 0
MSYJ001710.2 0.764994
MSYJ001720.1 63.2542
MSYJ001730.1 4.26056
MSYJ001740.1 42.2423
MSYJ001750.1 0
