target_id tpm
Cs1g01010.1 84.478
Cs1g01015.1 19.5622
Cs1g01020.1 15.3793
Cs1g01030.3 18.7247
Cs1g01040.1 17.291
Cs1g01050.2 4.73746
Cs1g01060.1 28.9606
Cs1g01070.1 7.64529
Cs1g01080.1 1.05478
Cs1g01090.1 11.5412
Cs1g01100.3 35.4838
Cs1g01110.1 0
Cs1g01120.1 0.134421
Cs1g01130.1 0
Cs1g01140.1 0.24001
Cs1g01150.1 1.74125
Cs1g01160.1 1.45158
Cs1g01165.1 0.619373
Cs1g01170.1 0.158012
Cs1g01180.1 0.191435
Cs1g01190.1 31.3398
Cs1g01200.1 8.56075
Cs1g01210.1 0.324724
Cs1g01220.2 45.7919
Cs1g01230.1 0.456695
Cs1g01240.1 0
Cs1g01250.1 24.9031
Cs1g01260.1 1.74093
Cs1g01270.1 0
Cs1g01280.1 20.8768
Cs1g01290.2 14.4893
Cs1g01300.1 19.418
Cs1g01310.1 19.3021
Cs1g01320.1 75.4406
Cs1g01330.4 2.6972
Cs1g01340.1 0
Cs1g01350.1 0
Cs1g01360.1 0
Cs1g01370.1 46.6707
Cs1g01380.1 0
Cs1g01390.3 19.5061
Cs1g01400.1 0
Cs1g01410.1 1.7865
Cs1g01420.2 0.0437748
Cs1g01430.1 0
Cs1g01440.1 0.0903214
Cs1g01450.1 0
Cs1g01460.1 14.0474
Cs1g01470.1 0.292209
Cs1g01480.1 0
Cs1g01490.1 0.49984
Cs1g01500.1 42.1095
Cs1g01505.1 24.9246
Cs1g01510.1 33.357
Cs1g01520.1 0
Cs1g01530.1 169.155
Cs1g01540.1 272.821
Cs1g01550.1 58.2035
Cs1g01560.1 64.1897
Cs1g01570.1 67.8081
Cs1g01580.1 77.0815
Cs1g01590.2 0.422244
Cs1g01600.1 31.1351
Cs1g01610.2 33.3953
Cs1g01620.1 9.41011
Cs1g01630.2 109.999
Cs1g01640.3 29.1462
Cs1g01650.1 52.9368
Cs1g01660.1 121.703
Cs1g01670.1 0
Cs1g01680.1 0
Cs1g01690.1 0.555307
Cs1g01700.7 856.327
Cs1g01710.1 0
Cs1g01720.1 0
Cs1g01730.1 0.228856
Cs1g01740.1 0.211827
Cs1g01750.1 0.257653
Cs1g01760.2 63.9574
Cs1g01770.1 13.8251
Cs1g01780.1 4.77863
Cs1g01790.3 73.8603
Cs1g01800.2 1.06387
Cs1g01810.1 0
Cs1g01820.1 0.484564
Cs1g01830.1 0.056338
Cs1g01840.1 1.02689
Cs1g01850.1 0.144683
Cs1g01860.2 15.3597
Cs1g01870.1 0
Cs1g01880.1 0.948528
Cs1g01890.1 0.225451
Cs1g01900.1 0
Cs1g01910.5 15.8466
Cs1g01920.1 24.6952
Cs1g01930.1 4.42153
Cs1g01940.5 22.7651
Cs1g01950.1 13.7066
Cs1g01960.1 61.51
Cs1g01970.2 139.329
Cs1g01980.4 341.928
Cs1g01990.2 150.39
Cs1g02000.1 13.6655
Cs1g02010.1 5.45246
Cs1g02020.1 0
Cs1g02030.1 0.060532
Cs1g02040.1 0
Cs1g02050.1 0
Cs1g02060.1 0.568991
Cs1g02065.1 41.5529
Cs1g02070.1 0
Cs1g02080.1 2.31242
Cs1g02090.1 0.0465477
Cs1g02100.1 0
Cs1g02110.1 0
Cs1g02120.1 0
Cs1g02130.1 0
Cs1g02140.1 0
Cs1g02150.1 14.9957
Cs1g02160.2 0
Cs1g02170.1 0
Cs1g02180.1 0
Cs1g02190.1 0
Cs1g02200.1 3.00153
Cs1g02210.1 0
Cs1g02220.1 0
Cs1g02230.1 0
Cs1g02240.1 0.100868
Cs1g02250.1 0
Cs1g02260.1 0
Cs1g02270.1 0
Cs1g02280.1 180.453
Cs1g02290.2 37.0293
Cs1g02295.1 46.4542
Cs1g02300.3 84.6161
Cs1g02310.1 0.584463
Cs1g02320.3 35.2971
Cs1g02330.1 0
Cs1g02340.1 0.052443
Cs1g02350.1 0
Cs1g02360.1 0
Cs1g02370.3 1.15481
Cs1g02380.1 0.0711503
Cs1g02390.1 0
Cs1g02400.1 0
Cs1g02410.1 0.0577223
Cs1g02420.1 0
Cs1g02430.1 0
Cs1g02440.1 0.203497
Cs1g02450.1 0
Cs1g02460.1 0
Cs1g02470.1 0
Cs1g02480.1 0.0349302
Cs1g02490.1 0
Cs1g02500.1 0.0224671
Cs1g02510.1 0
Cs1g02520.1 44.862
Cs1g02530.2 3.83524
Cs1g02540.1 0.0532023
Cs1g02550.1 0
Cs1g02560.1 0
Cs1g02570.1 1.21661
Cs1g02580.2 31.6287
Cs1g02590.1 2.08234
Cs1g02600.3 20.3686
Cs1g02610.1 1.04172
Cs1g02620.1 0
Cs1g02630.1 0
Cs1g02640.1 0
Cs1g02650.2 49.6313
Cs1g02660.2 36.3459
Cs1g02670.1 15.5372
Cs1g02675.2 233.396
Cs1g02680.1 68.2998
